date,region,SST,fish_density,chlorophyll
2026-01-01,North,151.8591956509789,129.39794027730096,35.105832802335655
2026-01-02,North,148.5859348731069,116.87142044612128,32.07540240960906
2026-01-03,North,147.8277526903513,118.9081395189396,38.85156464724008
2026-01-04,North,146.40182503071085,116.80509022508411,33.3408360774679
2026-01-05,North,151.92593773055964,118.24200697817788,35.70269964798702
2026-01-06,North,149.22712010429586,124.30095780146743,37.15743735976143
2026-01-07,North,156.0049563487436,125.43339773187819,34.98400346228632
2026-01-08,North,147.99405424932252,116.01248628336182,32.58307502342024
2026-01-09,North,147.97168521319955,111.85440095155728,35.10181163618958
2026-01-10,North,148.51514903304835,114.34414415784308,31.11687701078489
2026-01-11,North,149.9631271435584,111.76360113683624,34.416813274975844
2026-01-12,North,148.36699959920668,118.7547174214412,35.16347724847215
2026-01-13,North,150.36229528064067,114.30650826309056,34.53255526247781
2026-01-14,North,147.01040542524555,116.28052177760374,31.31517919867762
2026-01-15,North,146.03412762282946,123.67781136631542,37.395181436973914
2026-01-16,North,145.03043872847715,122.02084884738966,34.213164053593786
2026-01-17,North,144.00915615383389,115.04594045255404,36.66413546629026
2026-01-18,North,147.24953274568048,117.36420256582865,33.929834048775206
2026-01-19,North,147.51305736562142,127.40981863960218,32.74258750974276
2026-01-20,North,146.68152295606822,119.94899896664815,34.874666431723966
2026-01-21,North,150.26067033546485,118.56950396898927,34.62055981443653
2026-01-22,North,150.0595144698968,112.9175209903152,32.65637997799665
2026-01-23,North,146.76362779549217,119.38026832721745,37.29229407667343
2026-01-24,North,143.675406449815,119.08694402276632,32.49054084417501
2026-01-25,North,145.96013925843494,113.60985378417973,30.51149508209585
2026-01-26,North,145.7245439993963,118.03564897520721,36.801240907793925
2026-01-27,North,145.4409412119302,114.53488649496903,33.079592210760794
2026-01-28,North,145.19123512221674,115.23282610177839,32.8225992392121
2026-01-29,North,145.1116966546154,103.65024703588067,30.491564156863134
2026-01-30,North,145.4780265867751,115.2735142508394,37.577488290549
2026-01-31,North,144.81310282466748,120.69732877177427,31.383659390514122
2026-02-01,North,146.33454287531993,113.91062152242316,34.38380753647529
2026-02-02,North,146.47303536982508,117.44106013693666,36.1198477190459
2026-02-03,North,143.76614449654105,111.23316206377325,34.596662765314406
2026-02-04,North,147.96548789953505,120.17459870109191,34.47378895592263
2026-02-05,North,143.2999900224153,113.55737603025138,30.256666287908228
2026-02-06,North,141.86215429020712,108.79351572875566,31.752981186506858
2026-02-07,North,145.69788451523414,123.22106495051295,34.51517757913187
2026-02-08,North,143.14106509524296,119.15751214385546,32.0538648790746
2026-02-09,North,145.25904531799372,113.1827024347541,34.458527983596284
2026-02-10,North,139.65078178725503,114.20956697689292,34.29364317508129
2026-02-11,North,147.0858103474121,120.35570829203158,36.34216784108262
2026-02-12,North,145.48943454669916,119.60305381241521,31.64552819371447
2026-02-13,North,140.989060272657,104.31996873815022,37.59110416448931
2026-02-14,North,140.87888736091253,117.73614259389316,34.71073616129077
2026-02-15,North,147.02871010112193,114.7744732662689,34.40231371288626
2026-02-16,North,142.0585090792043,111.85766759615711,35.590774981994144
2026-02-17,North,141.71538875256817,126.56171976335554,38.07389329451358
2026-02-18,North,138.7035874437585,112.47223685861185,29.86327728663796
2026-02-19,North,142.38755624150866,111.97843261597106,33.02698596331903
2026-02-20,North,142.48862606249133,102.96442898621353,28.74086189275161
2026-02-21,North,144.2315790708838,122.33408392643882,34.23161887947281
2026-02-22,North,139.86058141277172,105.16241677617437,33.70290476640463
2026-02-23,North,139.47797026521687,106.56518169467599,32.817269822157854
2026-02-24,North,143.28197677944146,112.96881992811393,32.34732821389167
2026-02-25,North,144.25676277936444,122.48746918199302,29.752323523496237
2026-02-26,North,138.9660333998064,115.03902665317393,33.54027404678482
2026-02-27,North,144.13822642114798,114.52139358771709,36.73851425206025
2026-02-28,North,141.9190065627145,115.07666556836571,32.20176440107603
2026-03-01,North,143.89816192534926,112.11660107592388,34.659752243116145
2026-03-02,North,141.44668131612508,113.85561350072682,30.153047636384915
2026-03-03,North,136.4171175340859,109.5003777511594,33.19784963420221
2026-03-04,North,141.03430799963917,117.6712958781181,32.42009700443852
2026-03-05,North,143.33715479231995,119.50561444605071,32.14259505725816
2026-03-06,North,139.31009082509547,113.9179595711046,31.341290882586833
2026-03-07,North,140.2044956545409,110.35185873590221,32.25367596684216
2026-03-08,North,140.5131634089625,116.11964219912063,33.86749931317757
2026-03-09,North,134.95360400866173,107.50304087591415,29.366394399341313
2026-03-10,North,143.98475858425513,109.77823502383845,33.00272105371532
2026-03-11,North,138.7310071752508,108.96836678064595,32.66325787905186
2026-03-12,North,141.43922039258814,113.57401123299213,31.08976562945391
2026-03-13,North,140.15066591373377,116.67161164931075,36.62346358609679
2026-03-14,North,142.7379837089909,113.27274610640696,31.8406057816755
2026-03-15,North,140.93592439129623,106.70274595683895,31.848311050992265
2026-03-16,North,139.55744897457834,111.92966759614677,30.954873895270673
2026-03-17,North,138.1462004900929,111.08424059235709,36.22620027229482
2026-03-18,North,141.4373412627169,114.07906115468728,34.39327870974235
2026-03-19,North,136.00566997245733,113.40389355773802,30.327949982004185
2026-03-20,North,140.95777644437146,117.86083735594667,35.40401840659423
2026-03-21,North,137.3839054458913,106.93606999480471,32.878178477756016
2026-03-22,North,142.005143202056,110.52339727140007,33.9155354826342
2026-03-23,North,139.74436197487023,106.59449602511881,32.259917977469144
2026-03-24,North,140.63382724602596,116.00114014822316,31.627933475291247
2026-03-25,North,139.43602691705033,118.79292207532885,33.56273758151927
2026-03-26,North,135.69643960040986,106.98174204078327,31.049113460090794
2026-03-27,North,137.41157625977698,108.72210818419663,36.11582651110561
2026-03-28,North,140.41237092674325,119.66380952588949,30.543891974862444
2026-03-29,North,139.3381981907969,113.99834781871256,35.93995318386927
2026-03-30,North,141.30691627156028,115.22671154125351,33.03874555671646
2026-03-31,North,139.69430923749476,105.80086486012719,33.537033315541166
2026-04-01,North,136.89997105057503,112.91361718685712,34.046309743373875
2026-04-02,North,137.18966884575374,105.10605337405421,31.177435179141877
2026-04-03,North,138.9388774278723,105.48100101262307,34.51627225497174
2026-04-04,North,134.059038109193,105.51337260352085,26.39671991107625
2026-04-05,North,141.99094566803336,110.66379291718324,31.958210067162796
2026-04-06,North,139.4873562348828,110.48188651598106,31.049345632294433
2026-04-07,North,141.0206103319697,105.61158009295116,30.697110041650415
2026-04-08,North,135.3709005915578,113.09080200558462,31.644270442153662
2026-04-09,North,140.9897056830174,118.43019601899607,33.96944107296687
2026-04-10,North,142.9349493635615,104.61124712014512,34.99230986971091
2026-04-11,North,135.804489175355,113.53588036861676,32.64265134947182
2026-04-12,North,139.96626999772937,107.92037284907536,31.66186706975878
2026-04-13,North,138.40584014221827,115.00954979868854,33.41920090409399
2026-04-14,North,135.29784600226242,107.89604433847786,32.30814059015419
2026-04-15,North,139.35852009737957,111.63069389830865,34.743816355347946
2026-04-16,North,140.02894656380204,111.09766900393555,34.55966271862344
2026-04-17,North,137.15142825849063,115.78178862795994,32.49123847953938
2026-04-18,North,140.68041161310194,106.34638922785642,31.341576310297874
2026-04-19,North,135.01290688192356,111.04952719921388,30.69668106472055
2026-04-20,North,135.35773547945115,113.79283920800867,30.971968376614164
2026-04-21,North,138.62421575850294,114.48107300950441,32.09431048386808
2026-04-22,North,138.40852312490955,122.35031307154473,33.21780548016142
2026-04-23,North,136.93429401351867,106.90270139719145,33.81720758295985
2026-04-24,North,139.9992726416022,116.78594222624942,32.89761714228968
2026-04-25,North,139.45746619915676,111.03551978261831,32.923742815632295
2026-04-26,North,140.13049632606462,118.27142744261505,33.31271187521293
2026-04-27,North,138.18942765799034,110.51309714778543,31.60607490533339
2026-04-28,North,139.6652791882921,109.79284444132132,31.082271322372506
2026-04-29,North,137.59616512842962,116.60729312210184,29.008357231064505
2026-04-30,North,142.62537146797612,111.64248747928625,32.13477557744148
2026-05-01,North,136.9258236202257,102.4770301016778,33.33145563058072
2026-05-02,North,142.7975943976804,111.65384110227518,32.15369600345694
2026-05-03,North,138.69575284400287,114.05176700814496,32.26353649394869
2026-05-04,North,135.9168144855571,115.69364534638115,33.116225471936055
2026-05-05,North,141.44872420259495,113.71462623855852,34.33112383336433
2026-05-06,North,139.0119546063696,117.80054902126582,30.643325216941847
2026-05-07,North,140.51282976886793,105.61938920770639,35.09668466668087
2026-05-08,North,141.31155204840115,110.83292431463141,35.5170105883912
2026-05-09,North,139.59582350049408,110.23378321462476,30.6594649856617
2026-05-10,North,137.79430023757266,109.66264305269553,30.911186308232224
2026-05-11,North,140.99185855628178,113.21395878627641,35.58055307754874
2026-05-12,North,139.1063551902457,114.73963893915753,32.527563995538536
2026-05-13,North,140.54371603202404,110.21093863476679,28.66918731150111
2026-05-14,North,134.93441984425365,108.64267931016856,29.18752095938536
2026-05-15,North,140.20842912673848,111.94112884977054,32.54294657500274
2026-05-16,North,138.11256177327002,105.86059989916028,30.296427054084802
2026-05-17,North,142.77428159087208,113.65109182729049,32.72800877690153
2026-05-18,North,140.79440441203568,111.91722588014295,33.22367330977429
2026-05-19,North,140.11112767838333,111.26349931769144,35.94673474374613
2026-05-20,North,140.68980550455294,112.71064168654961,32.55705326845501
2026-05-21,North,137.8086430273858,110.62528212497558,34.70681220462268
2026-05-22,North,143.14291747769303,112.35285808661777,36.48610381961215
2026-05-23,North,143.97253795760062,121.54160403593683,36.66312693022428
2026-05-24,North,140.87150359521402,106.84979973015614,33.74380990581394
2026-05-25,North,143.3648216266508,111.08700675897117,29.746386029652214
2026-05-26,North,139.14648577489527,125.217006741034,33.75094688578679
2026-05-27,North,138.79372307618667,105.84502168600318,34.85554439086442
2026-05-28,North,140.5753379721555,105.6914970041756,32.952933383560264
2026-05-29,North,141.4712482217753,116.84938230242633,36.78341738450556
2026-05-30,North,139.92357833952482,101.55326340275049,34.70438279083988
2026-05-31,North,141.8995493257573,112.34326991074364,34.51645661945703
2026-06-01,North,141.55149596421006,123.97032139675049,35.48306061525369
2026-06-02,North,139.05901677886942,103.52253381232855,33.47854305829564
2026-06-03,North,142.21230477664056,103.8600213926189,28.456839956537408
2026-06-04,North,143.02300388687297,106.92249709970989,32.606322874433864
2026-06-05,North,141.76221947648685,117.9015734229244,35.74677994979308
2026-06-06,North,143.84997917542702,120.70386694027069,32.154813154888814
2026-06-07,North,139.2373094942087,108.82690361047442,32.40051688836786
2026-06-08,North,142.73744671774963,117.60601939420505,31.457816715743785
2026-06-09,North,139.5923700379852,118.6251726679481,36.48631919800058
2026-06-10,North,139.83807262259586,120.80719017022582,36.330599439355204
2026-06-11,North,140.93955682918195,111.51996905744633,31.420173575554934
2026-06-12,North,140.45432095863268,100.85609817855622,33.38546019250471
2026-06-13,North,141.38127204677807,109.00062302537403,31.91526631382752
2026-06-14,North,142.18954427599036,111.61761444611601,34.66779813326083
2026-06-15,North,144.43445274274555,114.25286821130449,34.90625670303377
2026-06-16,North,142.26180052142027,112.87014341209262,35.07577124751059
2026-06-17,North,139.87847577073907,117.4972536062446,33.63953204956359
2026-06-18,North,145.477062536577,122.75379216269951,39.96622492009234
2026-06-19,North,141.67149415586638,112.47882705506919,31.2784513011518
2026-06-20,North,143.37848545688348,120.19521274576589,30.25449038250367
2026-06-21,North,144.5407114645931,117.42087600482994,33.121961891515696
2026-06-22,North,144.19998718978292,115.68251961613919,30.70402090683605
